tract,Name,Household_Income_rP_gP_p75
24005403500,"Pikesville, MD",73998
24005403601,"Baltimore, MD",72321
24510271400,"Evergreen, Baltimore, MD",66504
24005490500,"Towson, MD",64878
24510271501,"Mount Washington, Baltimore, MD",64860
24027601104,"Ellicott City, MD",64289
24005400400,"Catonsville, MD",64068
24027602700,"Taylor Village, Ellicott City, MD",63945
24005490601,"Baltimore, MD",63814
24005440100,"Baltimore, MD",63630
24005430600,"Relay, Halethorpe, MD",62973
24027601103,"West Elkridge, Elkridge, MD",61729
24005401000,"Catonsville, MD",61410
24005420702,"Dundalk, MD",61153
24005401503,"Catonsville, MD",61062
24005490603,"Baltimore, MD",60709
24005400500,"Catonsville, MD",60632
24003750400,"Linthicum Heights, MD",60558
24510271200,"Homeland, Baltimore, MD",60343
24003750804,"Glen Burnie, MD",60333
24005403602,"Baltimore, MD",60236
24510120202,"Baltimore, MD",60146
24005491100,"Baltimore, MD",59721
24005403401,"Pikesville, MD",59347
24510270501,"Woodring, Baltimore, MD",59212
24005400702,"Baltimore, MD",58598
24005401504,"Catonsville, MD",58087
24510020300,"Fells Point, Baltimore, MD",57967
24005420500,"Baltimore, MD",57786
24005440900,"Rosedale, MD",57764
24005400200,"Catonsville, MD",56813
24027601201,"Elkridge, MD",56309
24510270703,"North Harford Road, Baltimore, MD",56196
24005451200,"Middle River, MD",56165
24005430400,"Halethorpe, MD",56116
24005440200,"Nottingham, MD",56103
24005420303,"Dundalk, MD",56056
24005440500,"Nottingham, MD",55973
24005452100,"Sparrows Point, MD",55656
24005430700,"Halethorpe, MD",55081
24005440400,"Baltimore, MD",54976
24003751200,"Linthicum Heights, MD",54945
24510271503,"Cross Keys, Baltimore, MD",54888
24510271102,"Mid-Charles, Baltimore, MD",54886
24510271300,"Roland Park, Baltimore, MD",54760
24005440800,"Rosedale, MD",54758
24510120201,"Baltimore, MD",54559
24005491300,"Baltimore, MD",54377
24003750801,"Glen Burnie, MD",54230
24510261100,"Canton, Baltimore, MD",54038
24005441102,"Rosedale, MD",54015
24005400100,"Catonsville, MD",53969
24005451300,"Middle River, MD",53969
24510130600,"Hampden, Baltimore, MD",53955
24003750300,"Linthicum Heights, MD",53800
24510272005,"Cross Country, Baltimore, MD",53750
24005401400,"Catonsville, MD",53661
24005421200,"Dundalk, MD",53649
24005440600,"Rosedale, MD",53629
24005420900,"Dundalk, MD",53493
24510260605,"Medford - Broening, Baltimore, MD",53356
24005420600,"Baltimore, MD",53186
24005400800,"Catonsville, MD",53093
24510120100,"Tuscany - Canterbury, Baltimore, MD",52921
24510270101,"Arcadia, Baltimore, MD",52914
24005403300,"Lochearn, Pikesville, MD",52767
24005402202,"Baltimore County, MD",52678
24510260800,"Baltimore Highlands, Baltimore, MD",52567
24510240200,"Riverside, Baltimore, MD",52566
24027601204,"Elkridge, MD",52280
24510270402,"Glenham-Belford, Baltimore, MD",52263
24005450300,"Essex, MD",52217
24510270502,"North Harford Road, Baltimore, MD",52105
24510270200,"Lauraville, Baltimore, MD",51865
24510010100,"Canton, Baltimore, MD",51809
24510261000,"Patterson Park, Baltimore, MD",51730
24510270804,"Lake Walker, Baltimore, MD",51688
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",51613
24005420701,"Dundalk, MD",51588
24005420200,"Dundalk, MD",51241
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",51212
24005400600,"Catonsville, MD",51032
24003750201,"Brooklyn, Baltimore, MD",50982
24005452400,"Dundalk, MD",50765
24005440701,"Rosedale, MD",50701
24005400900,"Catonsville, MD",50656
24510010400,"Canton, Baltimore, MD",50624
24510250103,"Violetville, Baltimore, MD",50551
24510240100,"Locust Point, Baltimore, MD",50531
24510130700,"Hampden, Baltimore, MD",50480
24005450501,"Essex, MD",50362
24510260501,"Joseph Lee, Baltimore, MD",50288
24510220100,"Baltimore, MD",50144
24003750202,"Brooklyn Park, MD",50114
24510240400,"Riverside Park, Baltimore, MD",50029
24510010200,"Patterson Park, Baltimore, MD",49971
24005441101,"Rosedale, MD",49768
24005450200,"Essex, MD",49755
24510010500,"Upper Fells Point, Baltimore, MD",49693
24005450100,"Rosedale, MD",49683
24510280403,"Westgate, Baltimore, MD",49666
24005403402,"Pikesville, MD",49458
24005440702,"Rosedale, MD",49397
24005430900,"Baltimore, MD",49391
24005491401,"Parkville, MD",49294
24005430800,"Halethorpe, MD",49234
24510270102,"Waltherson, Baltimore, MD",49161
24005420402,"Dundalk, MD",48996
24005441000,"Baltimore, MD",48770
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",48744
24510272004,"Cheswolde, Baltimore, MD",48738
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",48496
24005420800,"Dundalk, MD",48478
24510130806,"Woodberry, Baltimore, MD",48400
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",48360
24510272006,"Glen, Baltimore, MD",48298
24005450400,"Essex, MD",48264
24510020200,"Upper Fells Point, Baltimore, MD",48096
24510230200,"South Baltimore, Baltimore, MD",48086
24005400701,"Catonsville, MD",47991
24005420302,"Dundalk, MD",47687
24510260101,"Cedmont, Baltimore, MD",47580
24510010300,"Canton, Baltimore, MD",47556
24005452500,"Dundalk, MD",47415
24510272007,"Fallstaff, Baltimore, MD",47330
24005421102,"Dundalk, MD",47261
24005420100,"Dundalk, MD",47224
24510250206,"Morrell Park, Baltimore, MD",47222
24510272003,"Baltimore, MD",47180
24005401505,"Catonsville, MD",46925
24510080101,"Belair - Edison, Baltimore, MD",46636
24510130803,"Medfield, Baltimore, MD",46554
24510140100,"Bolton Hill, Baltimore, MD",46499
24510270302,"Waltherson, Baltimore, MD",46487
24005492102,"Parkville, MD",46394
24003750803,"Glen Burnie, MD",46081
24005401506,"Windsor Mill, Baltimore, MD",46008
24003751102,"Glen Burnie, MD",45616
24510270301,"Lauraville, Baltimore, MD",45465
24510130804,"Hampden, Baltimore, MD",45439
24510271101,"Radnor - Winston, Baltimore, MD",45438
24005403100,"Gwynn Oak, Pikesville, MD",45237
24005451100,"Essex, MD",45236
24003750203,"Baltimore, MD",45177
24005401301,"Woodlawn, MD",45021
24510260401,"Armistead Gardens, Baltimore, MD",44941
24005401102,"Gwynn Oak, Woodlawn, MD",44543
24510260900,"Baltimore, MD",44428
24510250401,"Brooklyn, Baltimore, MD",44419
24510040100,"Downtown, Baltimore, MD",43966
24005421101,"Baltimore, MD",43774
24510260700,"Fifteenth Street, Baltimore, MD",43763
24510230300,"South Baltimore, Baltimore, MD",43743
24510190300,"Mount Clare, Baltimore, MD",43713
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",43635
24005440300,"Nottingham, MD",43515
24510020100,"Upper Fells Point, Baltimore, MD",43336
24005402306,"Windsor Mill, Baltimore, MD",43043
24510280301,"Gwynn Oak, Baltimore, MD",43009
24510250402,"Brooklyn, Baltimore, MD",42989
24005401101,"Woodlawn, MD",42932
24510120300,"Harwood, Baltimore, MD",42784
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",42777
24510270401,"Glenham-Belford, Baltimore, MD",42655
24510130805,"Cold Springs, Baltimore, MD",42612
24005420301,"Dundalk, MD",42525
24005401302,"Gwynn Oak, Baltimore, MD",42455
24510170100,"Downtown, Baltimore, MD",42451
24510240300,"Riverside, Baltimore, MD",42211
24003750102,"Baltimore, MD",42030
24003750101,"Brooklyn Park, MD",41958
24510250303,"Morrell Park, Baltimore, MD",41932
24005402604,"Randallstown, MD",41893
24510270903,"Hillen, Baltimore, MD",41702
24005401200,"Woodlawn, MD",41688
24005421300,"Dundalk, MD",41375
24005420401,"Dundalk, MD",41369
24510260201,"Frankford, Baltimore, MD",41301
24005402305,"Lochearn, Pikesville, MD",41109
24005402302,"Windsor Mill, Milford Mill, MD",40919
24005402602,"Randallstown, MD",40573
24510160300,"Sandtown-Winchester, Baltimore, MD",40492
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",40262
24005402403,"Gwynn Oak, Baltimore, MD",40164
24510030200,"Little Italy, Baltimore, MD",40120
24510150500,"Burleith-Leighton, Baltimore, MD",40066
24510260102,"Frankford, Baltimore, MD",40065
24510060300,"Butchers Hill, Baltimore, MD",40035
24510210200,"Pigtown, Baltimore, MD",39832
24005492300,"Essex, MD",39800
