tract,Name,Household_Income_rP_gP_p75
34027041901,"East Hanover, NJ",71655
34027041603,"Parsippany, Parsippany-Troy Hills, NJ",71483
34027041200,"Pine Brook, Montville, NJ",71046
34027042200,"Cedar Knolls, Hanover, NJ",68927
34027042302,"Parsippany, Parsippany-Troy Hills, NJ",68826
34027044502,"Parsippany, Parsippany-Troy Hills, NJ",68601
34027040900,"Randolph, NJ",68386
34027044404,"Mountain Lakes, NJ",68146
34027040801,"Morris Plains, NJ",68115
34027041802,"Morris Plains, NJ",67938
34027044501,"Montville, NJ",66887
34027041604,"White Meadow Lake, Rockaway, NJ",66797
34027045704,"Dover, NJ",66294
34027041801,"Fairfield, NJ",66099
34027041300,"Morris Plains, NJ",66093
34027042301,"Morris Plains, NJ",65905
34027041400,"Randolph, NJ",65659
34013021601,"Whippany, Hanover, NJ",65499
34027040803,"Montville, NJ",65340
34027042000,"Denville, NJ",64604
34027041601,"Denville, NJ",64478
34027041702,"Boonton, NJ",64079
34027041803,"Dover, NJ",64026
34027041705,"Parsippany, Parsippany-Troy Hills, NJ",63777
34027044403,"Parsippany, Parsippany-Troy Hills, NJ",63510
34027046300,"Boonton, NJ",63382
34027041701,"Rockaway, NJ",63286
34027041706,"Denville, NJ",62691
34027040101,"White Meadow Lake, Rockaway, NJ",62476
34027041704,"Towaco, Montville, NJ",61831
34027041602,"Lincoln Park, NJ",61773
34027041000,"Morris Plains, NJ",61110
34027044300,"Lake Hiawatha, Parsippany-Troy Hills, NJ",61101
34027040804,"Parsippany, Parsippany-Troy Hills, NJ",60999
34027041500,"Lake Hiawatha, Parsippany-Troy Hills, NJ",60506
34027044401,"Rockaway, NJ",59798
34027043401,"Morristown, NJ",58104
34027040805,"Parsippany, Parsippany-Troy Hills, NJ",57946
34027041100,"Boonton, NJ",51334
